Country,Continent,Country_latitude,Country_longitude,Continent_latitude,Continent_longitude
Rwanda,Africa,-1.940278,29.873888,7.1881,21.0938
Saudi Arabia,Asia,23.885942,45.079162,34.0479,100.6197
Solomon Islands,Oceania,-9.64571,160.156194,-14.235,141.2551
Seychelles,Africa,-4.679574,55.491977,7.1881,21.0938
Sudan,Africa,12.862807,30.217636,7.1881,21.0938
Sweden,Europe,60.128161,18.643501,54.526,15.2551
Singapore,Asia,1.352083,103.819836,34.0479,100.6197
Slovenia,Europe,46.151241,14.995463,54.526,15.2551
Svalbard and Jan Mayen,Europe,77.553604,23.670272,54.526,15.2551
Slovakia,Europe,48.669026,19.699024,54.526,15.2551
Sierra Leone,Africa,8.460555,-11.779889,7.1881,21.0938
San Marino,Europe,43.94236,12.457777,54.526,15.2551
Senegal,Africa,14.497401,-14.452362,7.1881,21.0938
Somalia,Africa,5.152149,46.199616,7.1881,21.0938
Suriname,South America,3.919305,-56.027783,-14.235,-59.2551
El Salvador,North America,13.794185,-88.89653,54.526,-105.2551
Syria,Asia,34.802075,38.996815,34.0479,100.6197
Turks and Caicos Islands,North America,21.694025,-71.797928,54.526,-105.2551
Chad,Africa,15.454166,18.732207,7.1881,21.0938
Togo,Africa,8.619543,0.824782,7.1881,21.0938
Thailand,Asia,15.870032,100.992541,34.0479,100.6197
Tajikistan,Asia,38.861034,71.276093,34.0479,100.6197
Tokelau,Oceania,-8.967363,-171.855881,-14.235,141.2551
Turkmenistan,Asia,38.969719,59.556278,34.0479,100.6197
Tunisia,Africa,33.886917,9.537499,7.1881,21.0938
Tonga,Oceania,-21.178986,-175.198242,-14.235,141.2551
Turkey,Asia,38.963745,35.243322,34.0479,100.6197
Trinidad and Tobago,North America,10.691803,-61.222503,54.526,-105.2551
Tuvalu,Oceania,-7.109535,177.64933,-14.235,141.2551
Ukraine,Europe,48.379433,31.16558,54.526,15.2551
Uganda,Africa,1.373333,32.290275,7.1881,21.0938
USA,North America,37.09024,-95.712891,54.526,-105.2551
Uruguay,South America,-32.522779,-55.765835,-14.235,-59.2551
Uzbekistan,Asia,41.377491,64.585262,34.0479,100.6197
Saint Vincent and the Grenadines,North America,12.984305,-61.287228,54.526,-105.2551
Venezuela,South America,6.42375,-66.58973,-14.235,-59.2551
Vanuatu,Oceania,-15.376706,166.959158,-14.235,141.2551
Wallis and Futuna,Oceania,-13.768752,-177.156097,-14.235,141.2551
Samoa,Oceania,-13.759029,-172.104629,-14.235,141.2551
Yemen,Asia,15.552727,48.516388,34.0479,100.6197
Mayotte,Africa,-12.8275,45.166244,7.1881,21.0938
South Africa,Africa,-30.559482,22.937506,7.1881,21.0938
Zambia,Africa,-13.133897,27.849332,7.1881,21.0938
Zimbabwe,Africa,-19.015438,29.154857,7.1881,21.0938
